ahn,hong,moon,pop,광역시도_x,시군,ID,rate_moon,rate_hong,rate_ahn,x,y,광역시도_y,시도,moon_vs_hong,moon_vs_ahn,ahn_vs_hong
4675.0,10684.0,9918.0,28604.0,부산광역시,중구,부산 중구,34.673472241644525,37.35141938190463,16.34386799049084,11,18,부산광역시,중구,-2.677947140260102,18.329604251153686,-21.007551391413788
11868.0,26360.0,24522.0,71446.0,부산광역시,서구,부산 서구,34.322425328219914,36.894997620580575,16.61114688016124,9,19,부산광역시,서구,-2.572572292360661,17.711278448058675,-20.283850740419336
9815.0,22188.0,19606.0,58304.0,부산광역시,동구,부산 동구,33.62719538968167,38.05570801317234,16.834179473106474,10,18,부산광역시,동구,-4.4285126234906755,16.793015916575193,-21.22152854006587
13082.0,25345.0,30094.0,78013.0,부산광역시,영도구,부산 영도,38.575622011716,32.48817504774845,16.76900003845513,10,20,부산광역시,영도구,6.087446963967551,21.80662197326087,-15.71917500929332
40636.0,79545.0,95042.0,246124.0,부산광역시,부산진구,부산 부산진,38.61549462872374,32.31907493783621,16.510376883197086,10,17,부산광역시,부산진구,6.296419690887525,22.105117745526652,-15.808698054639127
30208.0,59616.0,67947.0,181098.0,부산광역시,동래구,부산 동래,37.51946459927774,32.91919292316867,16.680471347005486,11,16,부산광역시,동래구,4.600271676109067,20.838993252272253,-16.238721576163186
30943.0,59137.0,68566.0,181922.0,부산광역시,남구,부산 남구,37.68977913611328,32.50678862369587,17.00893789646112,11,19,부산광역시,남구,5.182990512417412,20.68084123965216,-15.497850727234749
32712.0,61175.0,83611.0,203689.0,부산광역시,북구,부산 북구,41.04836294547079,30.033531511274543,16.059777405750925,9,17,부산광역시,북구,11.01483143419625,24.988585539719868,-13.973754105523618
48325.0,80904.0,102106.0,266870.0,부산광역시,해운대구,부산 해운대,38.260576310563195,30.31588413834451,18.108067598456177,12,17,부산광역시,해운대구,7.944692172218684,20.152508712107018,-12.207816539888334
15909.0,26556.0,39412.0,94393.0,부산광역시,기장군,부산 기장,41.75309609822762,28.13344209846069,16.854004004534236,12,16,부산광역시,기장군,13.619653999766932,24.899092093693387,-11.279438093926455
36713.0,65252.0,82452.0,211876.0,부산광역시,사하구,부산 사하,38.91521455945931,30.797258773999886,17.3275878343937,10,19,부산광역시,사하구,8.117955785459422,21.587626725065608,-13.469670939606186
26729.0,54418.0,60169.0,164127.0,부산광역시,금정구,부산 금정,36.660025468082644,33.156031609668126,16.28555935342753,10,16,부산광역시,금정구,3.5039938584145176,20.374466114655114,-16.870472256240596
10629.0,18711.0,30783.0,68633.0,부산광역시,강서구,부산 강서,44.851601999038365,27.26239564058106,15.486719216703335,8,18,부산광역시,강서구,17.589206358457304,29.36488278233503,-11.775676423877727
23321.0,44221.0,52454.0,137602.0,부산광역시,연제구,부산 연제,38.12008546387407,32.13688754523917,16.94815482333106,11,17,부산광역시,연제구,5.9831979186349,21.17193064054301,-15.18873272190811
20319.0,39832.0,43702.0,119064.0,부산광역시,수영구,부산 수영,36.70462944298865,33.45427669152725,17.065611771820198,11,20,부산광역시,수영구,3.2503527514613992,19.63901767116845,-16.38866491970705
23023.0,46540.0,61743.0,149868.0,부산광역시,사상구,부산 사상,41.19825446392826,31.05399418154643,15.3621853898097,9,18,부산광역시,사상구,10.144260282381829,25.83606907411856,-15.69180879173673
7170.0,24698.0,11477.0,52180.0,대구광역시,중구,대구 중구,21.995017247987736,47.33231123035646,13.740896895362209,9,14,대구광역시,중구,-25.337293982368724,8.254120352625527,-33.591414334994255
31351.0,100166.0,47350.0,226510.0,대구광역시,동구,대구 동구,20.904154341971655,44.221447176725086,13.840890026930378,10,15,대구광역시,동구,-23.31729283475343,7.063264315041277,-30.380557149794708
17808.0,68782.0,22004.0,127659.0,대구광역시,서구,대구 서구,17.236544231115708,53.879475790974396,13.94966277348248,8,15,대구광역시,서구,-36.64293155985869,3.2868814576332284,-39.92981301749192
13978.0,50304.0,19862.0,100059.0,대구광역시,남구,대구 남구,19.85028832988537,50.27433814049711,13.969757842872705,9,15,대구광역시,남구,-30.424049810611738,5.880530487012665,-36.304580297624405
42369.0,121368.0,62526.0,276725.0,대구광역시,북구,대구 북구,22.59499503116813,43.85870449001716,15.310868190441774,8,14,대구광역시,북구,-21.263709458849032,7.284126840726355,-28.547836299575387
43698.0,123074.0,64922.0,285528.0,대구광역시,수성구,대구 수성,22.737524866212773,43.104003810484436,15.304278389509959,10,14,대구광역시,수성구,-20.366478944271662,7.433246476702815,-27.799725420974475
57956.0,165781.0,82726.0,374766.0,대구광역시,달서구,대구 달서,22.074040868168403,44.235869849452726,15.464583233270895,8,16,대구광역시,달서구,-22.161828981284323,6.609457634897508,-28.771286616181833
21427.0,60032.0,31753.0,137920.0,대구광역시,달성군,대구 달성,23.02276682134571,43.52668213457076,15.535817865429236,9,16,대구광역시,달성군,-20.503915313225054,7.486948955916473,-27.990864269141525
15405.0,16139.0,28030.0,69220.0,인천광역시,중구,인천 중구,40.494076856399886,23.31551574689396,22.2551285755562,1,9,인천광역시,중구,17.178561109505925,18.238948280843687,-1.0603871713377622
10479.0,11446.0,16501.0,44672.0,인천광역시,동구,인천 동구,36.93812679083094,25.62231375358166,23.457646848137536,1,7,인천광역시,동구,11.315813037249281,13.480479942693407,-2.1646669054441254
61034.0,60603.0,96338.0,254020.0,인천광역시,남구,인천 남구,37.92536020785765,23.857570270057476,24.027241949452797,2,9,인천광역시,남구,14.067789937800175,13.898118258404853,0.16967167939532146
